Question_No,Question,Topic_tags,Acceptance_rate,isPremium,Difficulty,Question_Link,Solution,Slug,Test_Cases,Has_Solutions,Languages
1695, Maximum Erasure Value,"['Array', 'Hash Table', 'Sliding Window']",58.70%,False,Medium,https://leetcode.com/problems/maximum-erasure-value/description,https://leetcode.com/problems/maximum-erasure-value/solutions,maximum-erasure-value,"[{""input"": ""nums = [4,2,4,5,6]"", ""expectedOutput"": ""17""}, {""input"": ""nums = [5,2,1,2,5,2,1,2,5]"", ""expectedOutput"": ""8""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
1696, Jump Game VI,"['Array', 'Dynamic Programming', '3+']",45.70%,False,Medium,https://leetcode.com/problems/jump-game-vi/description,https://leetcode.com/problems/jump-game-vi/solutions,jump-game-vi,"[{""input"": ""nums = [1,\\-1,-2,4,-7,3], k = 2"", ""expectedOutput"": ""7""}, {""input"": ""nums = [10,-5,-2,4,0,3], k = 3"", ""expectedOutput"": ""17""}, {""input"": ""nums = [1,-5,-20,4,-1,3,-6,-3], k = 2"", ""expectedOutput"": ""0""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
1697, Checking Existence of Edge Length Limited Paths,"['Array', 'Two Pointers', 'Union Find', '2+']",62.60%,False,Hard,https://leetcode.com/problems/checking-existence-of-edge-length-limited-paths/description,https://leetcode.com/problems/checking-existence-of-edge-length-limited-paths/solutions,checking-existence-of-edge-length-limited-paths,"[{""input"": ""n = 3, edgeList = [[0,1,2],[1,2,4],[2,0,8],[1,0,16]], queries = [[0,1,2],[0,2,5]]"", ""expectedOutput"": ""[false,true]""}, {""input"": ""n = 5, edgeList = [[0,1,10],[1,2,5],[2,3,9],[3,4,13]], queries = [[0,4,14],[1,4,13]]"", ""expectedOutput"": ""[true,false]""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
1698, Number of Distinct Substrings in a String,"['String', 'Trie', 'Rolling Hash', '2+']",64.60%,True,Medium,https://leetcode.com/problems/number-of-distinct-substrings-in-a-string/description,https://leetcode.com/problems/number-of-distinct-substrings-in-a-string/solutions,number-of-distinct-substrings-in-a-string,"[{""input"": ""s =  \""aabbaba \"""", ""expectedOutput"": ""21""}, {""input"": ""s =  \""abcdefg \"""", ""expectedOutput"": ""28""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
1699, Number of Calls Between Two Persons,['Database'],81.10%,True,Medium,https://leetcode.com/problems/number-of-calls-between-two-persons/description,https://leetcode.com/problems/number-of-calls-between-two-persons/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
1700, Number of Students Unable to Eat Lunch,"['Array', 'Stack', 'Queue', '1+']",78.40%,False,Easy,https://leetcode.com/problems/number-of-students-unable-to-eat-lunch/description,https://leetcode.com/problems/number-of-students-unable-to-eat-lunch/solutions,number-of-students-unable-to-eat-lunch,"[{""input"": ""students = [1,1,0,0], sandwiches = [0,1,0,1]"", ""expectedOutput"": ""0""}, {""input"": ""students = [1,1,1,0,0,1], sandwiches = [1,0,0,0,1,1]"", ""expectedOutput"": ""3""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
1701, Average Waiting Time,"['Array', 'Simulation']",73.10%,False,Medium,https://leetcode.com/problems/average-waiting-time/description,https://leetcode.com/problems/average-waiting-time/solutions,average-waiting-time,"[{""input"": ""customers = [[1,2],[2,5],[4,3]]"", ""expectedOutput"": ""5.00000""}, {""input"": ""customers = [[5,2],[5,4],[10,3],[20,1]]"", ""expectedOutput"": ""3.25000""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
1702, Maximum Binary String After Change,"['String', 'Greedy']",46.90%,False,Medium,https://leetcode.com/problems/maximum-binary-string-after-change/description,https://leetcode.com/problems/maximum-binary-string-after-change/solutions,maximum-binary-string-after-change,"[{""input"": ""binary =  \""000110 \"""", ""expectedOutput"": ""\""111011 \""""}, {""input"": ""binary =  \""01 \"""", ""expectedOutput"": ""\""01 \""""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
1703, Minimum Adjacent Swaps for K Consecutive Ones,"['Array', 'Greedy', 'Sliding Window', '1+']",42.40%,False,Hard,https://leetcode.com/problems/minimum-adjacent-swaps-for-k-consecutive-ones/description,https://leetcode.com/problems/minimum-adjacent-swaps-for-k-consecutive-ones/solutions,minimum-adjacent-swaps-for-k-consecutive-ones,"[{""input"": ""nums = [1,0,0,1,0,1], k = 2"", ""expectedOutput"": ""1""}, {""input"": ""nums = [1,0,0,0,0,0,1,1], k = 3"", ""expectedOutput"": ""5""}, {""input"": ""nums = [1,1,0,1], k = 2"", ""expectedOutput"": ""0""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
1704, Determine if String Halves Are Alike,"['String', 'Counting']",78.70%,False,Easy,https://leetcode.com/problems/determine-if-string-halves-are-alike/description,https://leetcode.com/problems/determine-if-string-halves-are-alike/solutions,determine-if-string-halves-are-alike,"[{""input"": ""s =  \""book \"""", ""expectedOutput"": ""true""}, {""input"": ""s =  \""textbook \"""", ""expectedOutput"": ""false""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
1705, Maximum Number of Eaten Apples,"['Array', 'Greedy', 'Heap (Priority Queue)']",39.80%,False,Medium,https://leetcode.com/problems/maximum-number-of-eaten-apples/description,https://leetcode.com/problems/maximum-number-of-eaten-apples/solutions,maximum-number-of-eaten-apples,"[{""input"": ""apples = [1,2,3,5,2], days = [3,2,1,4,2]"", ""expectedOutput"": ""7""}, {""input"": ""apples = [3,0,0,0,0,2], days = [3,0,0,0,0,2]"", ""expectedOutput"": ""5""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
1706, Where Will the Ball Fall,"['Array', 'Matrix', 'Simulation']",71.90%,False,Medium,https://leetcode.com/problems/where-will-the-ball-fall/description,https://leetcode.com/problems/where-will-the-ball-fall/solutions,where-will-the-ball-fall,"[{""input"": ""grid = [[1,1,1,-1,-1],[1,1,1,-1,-1],[-1,-1,-1,1,1],[1,1,1,1,-1],[-1,-1,-1,-1,-1]]"", ""expectedOutput"": ""[1,-1,-1,-1,-1]""}, {""input"": ""grid = [[-1]]"", ""expectedOutput"": ""[-1]""}, {""input"": ""grid = [[1,1,1,1,1,1],[-1,-1,-1,-1,-1,-1],[1,1,1,1,1,1],[-1,-1,-1,-1,-1,-1]]"", ""expectedOutput"": ""[0,1,2,3,4,-1]""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
1707, Maximum XOR With an Element From Array,"['Array', 'Bit Manipulation', 'Trie']",52.40%,False,Hard,https://leetcode.com/problems/maximum-xor-with-an-element-from-array/description,https://leetcode.com/problems/maximum-xor-with-an-element-from-array/solutions,maximum-xor-with-an-element-from-array,"[{""input"": ""nums = [0,1,2,3,4], queries = [[3,1],[1,3],[5,6]]"", ""expectedOutput"": ""[3,3,7]""}, {""input"": ""nums = [5,2,4,6,6,3], queries = [[12,4],[8,1],[6,3]]"", ""expectedOutput"": ""[15,-1,5]""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
1708, Largest Subarray Length K,"['Array', 'Greedy']",64.50%,True,Easy,https://leetcode.com/problems/largest-subarray-length-k/description,https://leetcode.com/problems/largest-subarray-length-k/solutions,largest-subarray-length-k,"[{""input"": ""nums = [1,4,5,2,3], k = 3"", ""expectedOutput"": ""[5,2,3]""}, {""input"": ""nums = [1,4,5,2,3], k = 4"", ""expectedOutput"": ""[4,5,2,3]""}, {""input"": ""nums = [1,4,5,2,3], k = 1"", ""expectedOutput"": ""[5]""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
1709, Biggest Window Between Visits,['Database'],70.40%,True,Medium,https://leetcode.com/problems/biggest-window-between-visits/description,https://leetcode.com/problems/biggest-window-between-visits/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
1710, Maximum Units on a Truck,"['Array', 'Greedy', 'Sorting']",73.90%,False,Easy,https://leetcode.com/problems/maximum-units-on-a-truck/description,https://leetcode.com/problems/maximum-units-on-a-truck/solutions,maximum-units-on-a-truck,"[{""input"": ""boxTypes = [[1,3],[2,2],[3,1]], truckSize = 4"", ""expectedOutput"": ""8""}, {""input"": ""boxTypes = [[5,10],[2,5],[4,7],[3,9]], truckSize = 10"", ""expectedOutput"": ""91""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
1711, Count Good Meals,"['Array', 'Hash Table']",30.80%,False,Medium,https://leetcode.com/problems/count-good-meals/description,https://leetcode.com/problems/count-good-meals/solutions,count-good-meals,"[{""input"": ""deliciousness = [1,3,5,7,9]"", ""expectedOutput"": ""4""}, {""input"": ""deliciousness = [1,1,1,3,3,3,7]"", ""expectedOutput"": ""15""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
1712, Ways to Split Array Into Three Subarrays,"['Array', 'Two Pointers', 'Binary Search', '1+']",33.10%,False,Medium,https://leetcode.com/problems/ways-to-split-array-into-three-subarrays/description,https://leetcode.com/problems/ways-to-split-array-into-three-subarrays/solutions,ways-to-split-array-into-three-subarrays,"[{""input"": ""nums = [1,1,1]"", ""expectedOutput"": ""1""}, {""input"": ""nums = [1,2,2,2,5,0]"", ""expectedOutput"": ""3""}, {""input"": ""nums = [3,2,1]"", ""expectedOutput"": ""0""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
1713, Minimum Operations to Make a Subsequence,"['Array', 'Hash Table', 'Binary Search', '1+']",47.80%,False,Hard,https://leetcode.com/problems/minimum-operations-to-make-a-subsequence/description,https://leetcode.com/problems/minimum-operations-to-make-a-subsequence/solutions,minimum-operations-to-make-a-subsequence,"[{""input"": ""target = [5,1,3], `arr` = [9,4,2,3,4]"", ""expectedOutput"": ""2""}, {""input"": ""target = [6,4,8,1,3,2], `arr` = [4,7,6,2,3,8,6,1]"", ""expectedOutput"": ""3""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
1714, Sum Of Special Evenly-Spaced Elements In Array,"['Array', 'Dynamic Programming']",49.70%,True,Hard,https://leetcode.com/problems/sum-of-special-evenly-spaced-elements-in-array/description,https://leetcode.com/problems/sum-of-special-evenly-spaced-elements-in-array/solutions,sum-of-special-evenly-spaced-elements-in-array,"[{""input"": ""nums = [0,1,2,3,4,5,6,7], queries = [[0,3],[5,1],[4,2]]"", ""expectedOutput"": ""[9,18,10]""}, {""input"": ""nums = [100,200,101,201,102,202,103,203], queries = [[0,7]]"", ""expectedOutput"": ""[303]""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
1715, Count Apples and Oranges,['Database'],75.70%,True,Medium,https://leetcode.com/problems/count-apples-and-oranges/description,https://leetcode.com/problems/count-apples-and-oranges/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
1716, Calculate Money in Leetcode Bank,['Math'],78.40%,False,Easy,https://leetcode.com/problems/calculate-money-in-leetcode-bank/description,https://leetcode.com/problems/calculate-money-in-leetcode-bank/solutions,calculate-money-in-leetcode-bank,"[{""input"": ""n = 4"", ""expectedOutput"": ""10""}, {""input"": ""n = 10"", ""expectedOutput"": ""37""}, {""input"": ""n = 20"", ""expectedOutput"": ""96""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
1717, Maximum Score From Removing Substrings,"['String', 'Stack', 'Greedy']",63.00%,False,Medium,https://leetcode.com/problems/maximum-score-from-removing-substrings/description,https://leetcode.com/problems/maximum-score-from-removing-substrings/solutions,maximum-score-from-removing-substrings,"[{""input"": ""s =  \""cdbcbbaaabab \"", x = 4, y = 5"", ""expectedOutput"": ""19""}, {""input"": ""s =  \""aabbaaxybbaabb \"", x = 5, y = 4"", ""expectedOutput"": ""20""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
1718, Construct the Lexicographically Largest Valid Sequence,"['Array', 'Backtracking']",54.30%,False,Medium,https://leetcode.com/problems/construct-the-lexicographically-largest-valid-sequence/description,https://leetcode.com/problems/construct-the-lexicographically-largest-valid-sequence/solutions,construct-the-lexicographically-largest-valid-sequence,"[{""input"": ""n = 3"", ""expectedOutput"": ""[3,1,2,3,2]""}, {""input"": ""n = 5"", ""expectedOutput"": ""[5,3,1,4,3,5,2,4,2]""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
1719, Number Of Ways To Reconstruct A Tree,"['Tree', 'Graph']",44.50%,False,Hard,https://leetcode.com/problems/number-of-ways-to-reconstruct-a-tree/description,https://leetcode.com/problems/number-of-ways-to-reconstruct-a-tree/solutions,number-of-ways-to-reconstruct-a-tree,"[{""input"": ""pairs = [[1,2],[2,3]]"", ""expectedOutput"": ""1""}, {""input"": ""pairs = [[1,2],[2,3],[1,3]]"", ""expectedOutput"": ""2""}, {""input"": ""pairs = [[1,2],[2,3],[2,4],[1,5]]"", ""expectedOutput"": ""0""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
1720, Decode XORed Array,"['Array', 'Bit Manipulation']",86.70%,False,Easy,https://leetcode.com/problems/decode-xored-array/description,https://leetcode.com/problems/decode-xored-array/solutions,decode-xored-array,"[{""input"": ""encoded = [1,2,3], first = 1"", ""expectedOutput"": ""[1,0,2,1]""}, {""input"": ""encoded = [6,2,7,3], first = 4"", ""expectedOutput"": ""[4,2,0,7,4]""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
1721, Swapping Nodes in a Linked List,"['Linked List', 'Two Pointers']",68.10%,False,Medium,https://leetcode.com/problems/swapping-nodes-in-a-linked-list/description,https://leetcode.com/problems/swapping-nodes-in-a-linked-list/solutions,swapping-nodes-in-a-linked-list,"[{""input"": ""head = [1,2,3,4,5], k = 2"", ""expectedOutput"": ""[1,4,3,2,5]""}, {""input"": ""head = [7,9,6,6,7,8,3,0,9,5], k = 5"", ""expectedOutput"": ""[7,9,6,6,8,7,3,0,9,5]""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
1722, Minimize Hamming Distance After Swap Operations,"['Array', 'Depth-First Search', 'Union Find']",49.00%,False,Medium,https://leetcode.com/problems/minimize-hamming-distance-after-swap-operations/description,https://leetcode.com/problems/minimize-hamming-distance-after-swap-operations/solutions,minimize-hamming-distance-after-swap-operations,"[{""input"": ""source = [1,2,3,4], target = [2,1,4,5], allowedSwaps = [[0,1],[2,3]]"", ""expectedOutput"": ""1""}, {""input"": ""source = [1,2,3,4], target = [1,3,2,4], allowedSwaps = []"", ""expectedOutput"": ""2""}, {""input"": ""source = [5,1,2,4,3], target = [1,5,4,2,3], allowedSwaps = [[0,4],[4,2],[1,3],[1,4]]"", ""expectedOutput"": ""0""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
1723, Find Minimum Time to Finish All Jobs,"['Array', 'Dynamic Programming', '3+']",42.80%,False,Hard,https://leetcode.com/problems/find-minimum-time-to-finish-all-jobs/description,https://leetcode.com/problems/find-minimum-time-to-finish-all-jobs/solutions,find-minimum-time-to-finish-all-jobs,"[{""input"": ""jobs = [3,2,3], k = 3"", ""expectedOutput"": ""3""}, {""input"": ""jobs = [1,2,4,7,8], k = 2"", ""expectedOutput"": ""11""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
1724, Checking Existence of Edge Length Limited Paths II,"['Union Find', 'Graph', '1+']",50.90%,True,Hard,https://leetcode.com/problems/checking-existence-of-edge-length-limited-paths-ii/description,https://leetcode.com/problems/checking-existence-of-edge-length-limited-paths-ii/solutions,checking-existence-of-edge-length-limited-paths-ii,"[{""input"": ""See problem description"", ""expectedOutput"": ""See problem description""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
1725, Number Of Rectangles That Can Form The Largest Square,['Array'],78.90%,False,Easy,https://leetcode.com/problems/number-of-rectangles-that-can-form-the-largest-square/description,https://leetcode.com/problems/number-of-rectangles-that-can-form-the-largest-square/solutions,number-of-rectangles-that-can-form-the-largest-square,"[{""input"": ""rectangles = [[5,8],[3,9],[5,12],[16,5]]"", ""expectedOutput"": ""3""}, {""input"": ""rectangles = [[2,3],[3,7],[4,3],[3,7]]"", ""expectedOutput"": ""3""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
1726, Tuple with Same Product,"['Array', 'Hash Table', 'Counting']",61.30%,False,Medium,https://leetcode.com/problems/tuple-with-same-product/description,https://leetcode.com/problems/tuple-with-same-product/solutions,tuple-with-same-product,"[{""input"": ""nums = [2,3,4,6]"", ""expectedOutput"": ""8""}, {""input"": ""nums = [1,2,4,5,10]"", ""expectedOutput"": ""16""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
1727, Largest Submatrix With Rearrangements,"['Array', 'Greedy', 'Sorting', '1+']",75.30%,False,Medium,https://leetcode.com/problems/largest-submatrix-with-rearrangements/description,https://leetcode.com/problems/largest-submatrix-with-rearrangements/solutions,largest-submatrix-with-rearrangements,"[{""input"": ""matrix = [[0,0,1],[1,1,1],[1,0,1]]"", ""expectedOutput"": ""4""}, {""input"": ""matrix = [[1,0,1,0,1]]"", ""expectedOutput"": ""3""}, {""input"": ""matrix = [[1,1,0],[1,0,1]]"", ""expectedOutput"": ""2""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
1728, Cat and Mouse II,"['Array', 'Math', '6+']",39.90%,False,Hard,https://leetcode.com/problems/cat-and-mouse-ii/description,https://leetcode.com/problems/cat-and-mouse-ii/solutions,cat-and-mouse-ii,"[{""input"": ""grid = [ \""####F \"", \""#C... \"", \""M.... \""], catJump = 1, mouseJump = 2"", ""expectedOutput"": ""true""}, {""input"": ""grid = [ \""M.C...F \""], catJump = 1, mouseJump = 4"", ""expectedOutput"": ""true""}, {""input"": ""grid = [ \""M.C...F \""], catJump = 1, mouseJump = 3"", ""expectedOutput"": ""false""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
1729, Find Followers Count,['Database'],69.30%,False,Easy,https://leetcode.com/problems/find-followers-count/description,https://leetcode.com/problems/find-followers-count/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
1730, Shortest Path to Get Food,"['Array', 'Breadth-First Search', 'Matrix']",55.30%,True,Medium,https://leetcode.com/problems/shortest-path-to-get-food/description,https://leetcode.com/problems/shortest-path-to-get-food/solutions,shortest-path-to-get-food,"[{""input"": ""grid = [[ \""X \"", \""X \"", \""X \"", \""X \"", \""X \"", \""X \""],[ \""X \"", \""\\* \"", \""O \"", \""O \"", \""O \"", \""X \""],[ \""X \"", \""O \"", \""O \"", \""# \"", \""O \"", \""X \""],[ \""X \"", \""X \"", \""X \"", \""X \"", \""X \"", \""X \""]]"", ""expectedOutput"": ""3""}, {""input"": ""grid = [[ \""X \"", \""X \"", \""X \"", \""X \"", \""X \""],[ \""X \"", \""\\* \"", \""X \"", \""O \"", \""X \""],[ \""X \"", \""O \"", \""X \"", \""# \"", \""X \""],[ \""X \"", \""X \"", \""X \"", \""X \"", \""X \""]]"", ""expectedOutput"": ""-1""}, {""input"": ""grid = [[ \""X \"", \""X \"", \""X \"", \""X \"", \""X \"", \""X \"", \""X \"", \""X \""],[ \""X \"", \""\\* \"", \""O \"", \""X \"", \""O \"", \""# \"", \""O \"", \""X \""],[ \""X \"", \""O \"", \""O \"", \""X \"", \""O \"", \""O \"", \""X \"", \""X \""],[ \""X \"", \""O \"", \""O \"", \""O \"", \""O \"", \""# \"", \""O \"", \""X \""],[ \""X \"", \""X \"", \""X \"", \""X \"", \""X \"", \""X \"", \""X \"", \""X \""]]"", ""expectedOutput"": ""6""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
